9.924296316997416323e-02,5.597000122070312500e-01
2.169559805555988374e-01,5.516999959945678711e-01
9.097280149094613133e-01,5.256999731063842773e-01
8.914119925244928799e-01,5.253000259399414062e-01
6.923691854825015923e-01,5.349000096321105957e-01
8.771973812483709887e-01,5.149000287055969238e-01
8.413907302954526379e-02,5.566999912261962891e-01
5.411951593601936894e-01,5.443000197410583496e-01
4.814477878381689946e-01,5.479000210762023926e-01
7.353732874450913393e-01,5.235000252723693848e-01
